juntar(9436, 3089);
juntar(2914, 6670);
juntar(9806, 2352);
juntar(3521, 8989);
juntar(3037, 8882);
juntar(9408, 7007);
juntar(1833, 8707);
juntar(4573, 9345);
juntar(1076, 8553);
juntar(187, 2063);
juntar(4274, 1210);
juntar(6536, 3879);
juntar(6609, 8084);
juntar(152, 6927);
juntar(172, 16);
juntar(9970, 4628);
juntar(9494, 56);
juntar(7197, 383);
juntar(7138, 6089);
juntar(8452, 9543);
juntar(9746, 6948);
juntar(712, 2376);
juntar(4703, 2962);
juntar(9604, 7604);
juntar(6362, 778);
juntar(9654, 4494);
juntar(8639, 2727);
juntar(6277, 6438);
juntar(7725, 2997);
juntar(4457, 536);
juntar(4618, 6462);
juntar(8373, 5729);
juntar(2252, 1115);
juntar(9525, 6739);
juntar(6116, 1780);
juntar(8326, 2273);
juntar(390, 980);
juntar(5576, 3724);
juntar(3922, 2707);
juntar(5745, 4969);
juntar(1610, 6170);
juntar(3586, 4746);
juntar(7150, 9571);
juntar(9228, 590);
juntar(2530, 8434);
juntar(4604, 7312);
juntar(8124, 9106);
juntar(5859, 3638);
juntar(4794, 5635);
juntar(2175, 7731);
juntar(6035, 7470);
juntar(1383, 6110);
juntar(3841, 6132);
juntar(6651, 676);
juntar(6737, 1356);
juntar(6583, 5497);
juntar(2200, 1054);
juntar(3132, 8322);
juntar(8570, 4911);
juntar(7859, 1833);
juntar(3446, 8408);
juntar(7308, 6136);
juntar(6603, 2647);
juntar(2508, 7110);
juntar(5440, 5465);
juntar(5942, 4880);
juntar(161, 1036);
juntar(1738, 2897);
juntar(3995, 8372);
juntar(1271, 913);
juntar(1038, 4001);
juntar(6891, 4455);
juntar(599, 432);
juntar(1069, 9337);
juntar(2260, 9976);
juntar(6908, 2196);
juntar(326, 3002);
juntar(8640, 7092);
juntar(9798, 746);
juntar(7540, 3793);
juntar(8564, 5450);
juntar(9486, 5534);
juntar(2106, 4763);
juntar(5294, 2754);
juntar(7706, 3121);
juntar(3925, 4594);
juntar(4861, 117);
juntar(1653, 1801);
juntar(7418, 4747);
juntar(7399, 3072);
juntar(802, 4878);
juntar(5543, 1855);
juntar(4636, 3261);
juntar(2745, 2149);
juntar(7036, 4992);
juntar(4590, 9955);
juntar(1908, 6451);
juntar(1173, 1669);
juntar(4703, 2427);
juntar(8146, 1936);
juntar(5228, 6400);
juntar(1222, 1285);
juntar(8386, 8766);
juntar(7604, 8175);
juntar(4983, 9157);
juntar(7442, 1021);
juntar(5129, 1951);
juntar(2014, 3235);
juntar(6153, 8590);
juntar(3067, 8324);
juntar(5477, 6350);
juntar(9501, 2726);
juntar(6398, 861);
juntar(3426, 1183);
